Title,Handle,Template suffix,Search engine title,Search engine description
Our Story,our-story,,Our Story | Why KINROW Exists,"KINROW makes compact, considered home movement tools with clear guidance, honest delivery, and no manufactured proof."
Contact,contact,contact,Contact KINROW | Product and Order Help,"Contact KINROW for product, fit, delivery, return, or order support. We reply within one business day."
FAQ,faq,,"KINROW FAQ | Products, Shipping and Returns","Straight answers about KINROW products, delivery times, returns, tracking, and safe use."
Shipping & Delivery,shipping-delivery,,Shipping & Delivery | KINROW,"KINROW processing takes 1–2 business days and standard US delivery takes 7–12 business days after dispatch."
Returns & Refunds,returns-refunds,,30-Day Returns & Refunds | KINROW,"Try KINROW carefully at home and request a return within 30 days of delivery under our Move-With-It Promise."
Track Your Order,track-order,,Track Your KINROW Order,"Use your shipping email for live carrier status or request a KINROW tracking update with your order number."
Warranty & Guarantee,warranty-guarantee,,Warranty & Move-With-It Promise | KINROW,"KINROW includes a 30-day trial window and one-year limited workmanship warranty for normal household use."
Fit Guide,fit-guide,,KINROW Fit and Resistance Guide,"Choose and fit fabric loops, ankle weights, and resistance tools for controlled, comfortable home movement."
Privacy Policy,privacy-policy,,Privacy Policy | KINROW,"Learn what KINROW collects, why we use it, who supports store operations, and the privacy choices available to you."
Terms of Service,terms-of-service,,Terms of Service | KINROW,"Terms governing the KINROW storefront, orders, safe product use, policies, intellectual property, and legal rights."
Cookie Policy,cookie-policy,,Cookie Policy | KINROW,"Learn how essential, analytics, and advertising cookies are used on KINROW and how to manage your choices."
Accessibility Statement,accessibility,,Accessibility Statement | KINROW,"KINROW aims for WCAG 2.1 AA and welcomes reports of barriers across keyboard, screen-reader, zoom, voice, and touch use."
